Date,Location,Habitat2,Habitat,Site,Team,ID,Material,SubMaterial,Fishing,Fragment,Whole,Total,Notes
11/11/19,NEUTR,P,P,NEUTR P,UNSW,H1,Plastic,Hard Plastic,Non-Fishing,0,1,1,
11/11/19,NEUTR,P,P,NEUTR P,UNSW,H2,Plastic,Hard Plastic,Non-Fishing,0,1,1,
11/11/19,NEUTR,P,P,NEUTR P,UNSW,H3,Plastic,Hard Plastic,Non-Fishing,0,0,0,
11/11/19,NEUTR,P,P,NEUTR P,UNSW,H4,Plastic,Hard Plastic,Non-Fishing,0,1,1,
11/11/19,NEUTR,P,P,NEUTR P,UNSW,H5,Plastic,Hard Plastic,Non-Fishing,0,0,0,
11/11/19,NEUTR,P,P,NEUTR P,UNSW,H6,Plastic,Hard Plastic,Non-Fishing,0,0,0,
11/11/19,NEUTR,P,P,NEUTR P,UNSW,H7,Plastic,Hard Plastic,Non-Fishing,0,0,0,
11/11/19,NEUTR,P,P,NEUTR P,UNSW,H8,Plastic,Hard Plastic,Non-Fishing,0,0,0,
11/11/19,NEUTR,P,P,NEUTR P,UNSW,H9,Plastic,Hard Plastic,Non-Fishing,0,0,0,
11/11/19,NEUTR,P,P,NEUTR P,UNSW,H10,Plastic,Hard Plastic,Non-Fishing,1,1,2,Opal Card
11/11/19,NEUTR,P,P,NEUTR P,UNSW,S1,Plastic,Soft Plastic,Non-Fishing,0,0,0,
11/11/19,NEUTR,P,P,NEUTR P,UNSW,S2,Plastic,Soft Plastic,Non-Fishing,0,0,0,
11/11/19,NEUTR,P,P,NEUTR P,UNSW,S3,Plastic,Soft Plastic,Non-Fishing,0,0,0,
11/11/19,NEUTR,P,P,NEUTR P,UNSW,S4,Plastic,Soft Plastic,Non-Fishing,0,0,0,
11/11/19,NEUTR,P,P,NEUTR P,UNSW,S5,Plastic,Soft Plastic,Non-Fishing,0,0,0,
11/11/19,NEUTR,P,P,NEUTR P,UNSW,S6,Plastic,Soft Plastic,Non-Fishing,0,0,0,
11/11/19,NEUTR,P,P,NEUTR P,UNSW,S7,Plastic,Soft Plastic,Non-Fishing,0,0,0,
11/11/19,NEUTR,P,P,NEUTR P,UNSW,BP1,Plastic,Plastic Straps,Non-Fishing,0,0,0,
11/11/19,NEUTR,P,P,NEUTR P,UNSW,BP2,Plastic,Plastic Straps,Non-Fishing,0,0,0,
11/11/19,NEUTR,P,P,NEUTR P,UNSW,BP3,Plastic,Plastic Straps,Non-Fishing,0,1,1,
11/11/19,NEUTR,P,P,NEUTR P,UNSW,BP4,Plastic,Plastic Straps,Non-Fishing,1,0,1,
11/11/19,NEUTR,P,P,NEUTR P,UNSW,M1,Metal,,Non-Fishing,0,0,0,
11/11/19,NEUTR,P,P,NEUTR P,UNSW,M2,Metal,,Non-Fishing,0,0,0,
11/11/19,NEUTR,P,P,NEUTR P,UNSW,M3,Metal,,Non-Fishing,0,0,0,
11/11/19,NEUTR,P,P,NEUTR P,UNSW,M4,Metal,,Non-Fishing,0,0,0,
11/11/19,NEUTR,P,P,NEUTR P,UNSW,M5,Metal,,Non-Fishing,0,1,1,
11/11/19,NEUTR,P,P,NEUTR P,UNSW,M6,Metal,,Non-Fishing,0,0,0,
11/11/19,NEUTR,P,P,NEUTR P,UNSW,M7,Metal,,Non-Fishing,0,0,0,
11/11/19,NEUTR,P,P,NEUTR P,UNSW,M8,Metal,,Non-Fishing,0,0,0,
11/11/19,NEUTR,P,P,NEUTR P,UNSW,M9,Metal,,Non-Fishing,0,0,0,
11/11/19,NEUTR,P,P,NEUTR P,UNSW,M10,Metal,,Non-Fishing,0,0,0,
11/11/19,NEUTR,P,P,NEUTR P,UNSW,M11,Metal,,Non-Fishing,0,0,0,
11/11/19,NEUTR,P,P,NEUTR P,UNSW,G1,Glass,,Non-Fishing,2,4,6,
11/11/19,NEUTR,P,P,NEUTR P,UNSW,G2,Glass,,Non-Fishing,0,2,2,
11/11/19,NEUTR,P,P,NEUTR P,UNSW,G3,Glass,,Non-Fishing,0,0,0,
11/11/19,NEUTR,P,P,NEUTR P,UNSW,G4,Glass,,Non-Fishing,0,0,0,
11/11/19,NEUTR,P,P,NEUTR P,UNSW,R1,Rubber,,Non-Fishing,0,0,0,
11/11/19,NEUTR,P,P,NEUTR P,UNSW,R2,Rubber,,Non-Fishing,0,0,0,
11/11/19,NEUTR,P,P,NEUTR P,UNSW,R3,Rubber,,Non-Fishing,0,0,0,
11/11/19,NEUTR,P,P,NEUTR P,UNSW,R4,Rubber,,Non-Fishing,0,0,0,
11/11/19,NEUTR,P,P,NEUTR P,UNSW,R5,Rubber,,Non-Fishing,2,0,2,
11/11/19,NEUTR,P,P,NEUTR P,UNSW,C1,Cloth,,Non-Fishing,0,0,0,
11/11/19,NEUTR,P,P,NEUTR P,UNSW,C2,Cloth,,Non-Fishing,0,0,0,
