Site,lat,lon,Location,Habitat,M_to_ocean,CostDis,Coast,LocDis,depth_st,depth_end,depth_avg,diff
WATSO SS,-33.8429,151.28079,WATSO,SS,205,209.4336719,south,210.6888672,2.8,3.6,3.2,1.4
WATSO P,-33.84342,151.28099,WATSO,P,210,211.9440625,south,210.6888672,1,2.6,1.8,1.4
PARSL SS,-33.84988,151.27634,PARSL,SS,253,259.9984766,south,261.2536817,2,8,5,2
PARSL P,-33.84967,151.2768,PARSL,P,248,262.5088867,south,261.2536817,3,3,3,2
DOUBL SS,-33.87318,151.24348,DOUBL,SS,638,723.2654688,south,724.5206641,,,3,1
DOUBL P,-33.87311,151.24256,DOUBL,P,643,725.7758594,south,724.5206641,,,2,1
NEUTR SS,-33.84214,151.21983,NEUTR,SS,780,876.2521094,north,877.5073047,4.4,5.5,4.95,2.95
NEUTR P,-33.84228,151.2193,NEUTR,P,785,878.7625,north,877.5073047,2,2,2,2.95
CLIFT SS,-33.83956,151.25395,CLIFT,SS,285,343.1985156,north,344.453711,4,5,4.5,1
CLIFT P,-33.83979,151.2536,CLIFT,P,290,345.7089063,north,344.453711,3,8,5.5,1
,,,,,,,,,,,3.495,0.777174369
,,,,,,,,,,,1.387733964,
